          X           Y               RA              DEC         m_B       err_B         m_V       err_V         m_R       err_R 
   2102.530     740.040      308.8705946       60.1498781      26.772       0.069      24.251       0.009      22.440       0.007 
   4202.040    1648.610      308.9077189       60.1328240      25.165       0.034      23.393       0.005      21.998       0.004 
   4455.880    1923.790      308.9109939       60.1290456      26.716       0.078      24.618       0.010      22.899       0.005 
   1299.580    3393.050      308.8344657       60.1252469      24.194       0.025      22.343       0.005      20.790       0.004 
   2941.040    1934.660      308.8793402       60.1344348      22.336       0.011      21.577       0.004      20.925       0.004 
   1524.570    1415.130      308.8536037       60.1449662      25.940       0.046      23.965       0.008      22.398       0.005 
   2483.180    4274.050      308.8527011       60.1118110      23.578       0.012      21.853       0.003      20.512       0.002 
   1262.900    1178.520      308.8498753       60.1483712      26.240       0.067      24.258       0.012      22.680       0.008 
   2750.320     984.550      308.8823153       60.1449891      26.369       0.072      24.405       0.009      22.797       0.007 
   1139.210    1325.270      308.8462228       60.1472960      26.184       0.059      24.694       0.015      23.373       0.010 
   1479.390    4340.960      308.8312964       60.1147538      23.279       0.011      21.667       0.003      20.426       0.003 
   2249.580    3227.020      308.8554799       60.1235276      24.574       0.066      23.665       0.016      22.722       0.009 
   1949.740    3043.080      308.8505738       60.1265242      25.412       0.051      23.623       0.005      22.249       0.006 
   1153.620    1615.280      308.8444043       60.1442329      28.073       0.227      25.669       0.021      23.776       0.011 
   1695.490     877.800      308.8610970       60.1499246      26.661       0.069      24.638       0.013      23.047       0.008 
   3783.050    1332.580      308.9012996       60.1376264      27.204       0.094      24.710       0.013      22.898       0.007 
   2289.590    3838.320      308.8518489       60.1170364      25.496       0.050      23.730       0.007      22.367       0.006 
   3967.300    1262.220      308.9056558       60.1376872      25.585       0.065      23.768       0.007      22.394       0.006 
   4612.430    4140.960      308.8980276       60.1054656      23.390       0.011      21.828       0.003      20.630       0.003 
    995.040    2557.250      308.8342176       60.1350278      27.529       0.140      25.384       0.016      23.620       0.011 
   2126.430    2494.290      308.8582664       60.1315808      26.103       0.071      24.227       0.019      22.766       0.010 
   3591.710    3032.060      308.8848747       60.1206820      27.171       0.113      25.076       0.011      23.357       0.006 
   2630.530    3141.370      308.8640453       60.1230352      25.616       0.047      23.809       0.007      22.436       0.006 
   3661.320    1662.520      308.8963464       60.1346442      27.218       0.102      25.083       0.011      23.362       0.006 
   2255.730    3366.160      308.8545917       60.1220609      25.981       0.083      25.099       0.024      24.054       0.011 
   2807.570    1910.640      308.8767334       60.1351685      25.235       0.039      23.972       0.010      22.865       0.006 
   2398.540    2320.880      308.8652066       60.1323941      22.794       0.016      22.188       0.005      21.625       0.006 
   4081.550    1578.240      308.9057229       60.1339922      26.283       0.066      24.380       0.011      22.885       0.008 
   3113.330    4495.190      308.8642141       60.1072302      23.894       0.022      22.284       0.005      21.041       0.006 
   3001.680    2204.550      308.8786302       60.1314132      27.296       0.131      25.196       0.016      23.508       0.011 
   3825.580    1374.840      308.9018768       60.1370333      27.502       0.126      25.064       0.011      23.269       0.008 
   4715.320    4163.590      308.9000048       60.1048569      23.097       0.010      21.852       0.004      20.869       0.004 
   1260.860    3142.270      308.8354890       60.1279909      28.631       0.263      26.265       0.021      24.309       0.011 
   2484.290    3851.430      308.8558104       60.1161944      23.922       0.020      22.779       0.005      21.875       0.005 
   4073.010    1586.350      308.9054855       60.1339391      26.713       0.083      24.668       0.012      23.076       0.008 
   4407.130    1242.630      308.9149675       60.1362920      24.699       0.026      22.783       0.006      21.250       0.003 
   2372.420    2673.150      308.8620873       60.1288320      28.169       0.205      25.620       0.017      23.731       0.010 
   1974.580    2507.910      308.8550012       60.1319900      27.184       0.139      25.200       0.020      23.602       0.009 
   1566.000    3782.220      308.8371785       60.1202412      24.475       0.022      22.669       0.004      21.283       0.003 
   1399.880    2465.980      308.8433255       60.1345085      24.474       0.029      23.171       0.006      22.158       0.006 
