         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6132       53.0754174      -27.8527828        0.5944769    sersic       4.497        0.4910000       51.2690000        0.3825000   comment 
       6135       53.1357281      -27.8528775        1.3388403    sersic       5.282        1.5550000      -26.4160000        0.7804000   comment 
       6136       53.0853648      -27.8527300        0.8924353    sersic       0.770        1.8460000       44.3030000        0.5468000   comment 
       6137       53.0885593      -27.8527054        0.5198306    sersic       0.596        1.4620000      -83.0040000        0.4599000   comment 
       6139       53.1716236      -27.8532411        7.9050547    sersic       0.758        4.4980000      -50.7170000        0.2798000   comment 
       6141       53.0943066      -27.8534951       28.9775860    sersic       0.831        2.6680000      -62.6780000        0.3574000   comment 
       6143       53.0817636      -27.8526661        0.3508490    sersic       2.038        0.6220000       23.0570000        0.0179000   comment 
       6144       53.1065407      -27.8528296        1.5942527    sersic       0.842        3.8910000       63.4190000        0.1882000   comment 
       6146       53.0899818      -27.8528876        2.9897885    sersic       0.790        1.0040000       14.5010000        0.6313000   comment 
       6147       53.1951930      -27.8526120        1.4284093    sersic       2.109        0.8140000       73.9360000        0.4449000   comment 
       6148       53.1177092      -27.8527647        2.0690700    sersic       2.508        1.3560000       76.2900000        0.6054000   comment 
       6149       53.1530891      -27.8526873        1.2811701    sersic       1.337        0.9430000       36.4020000        0.0392000   comment 
       6150       53.0677125      -27.8530609        3.6010580    sersic       0.910        2.7850000      -21.2490000        0.4751000   comment 
       6154       53.1398420      -27.8525595        0.5344590    sersic       6.899        1.0050000       60.7450000        0.0636000   comment 
       6155       53.0965885      -27.8525584        0.4017763    sersic       2.388        0.9330000       31.5210000        0.0432000   comment 
       6156       53.1748836      -27.8525489        0.7246226    sersic       0.879        0.1730000      -33.8290000        0.1001000   comment 
       6159       53.1646920      -27.8533358       25.7420586    sersic       0.825        3.4660000       87.1170000        0.5623000   comment 
       6161       53.0907102      -27.8524938        0.3249118    sersic       0.305        0.1640000       47.7810000        0.0833000   comment 
       6162       53.1459183      -27.8524842        0.3339742    sersic       2.117        1.9360000      -69.1810000        0.1771000   comment 
       6163       53.1642518      -27.8535196       22.9178987    sersic       1.164        4.6260000      -15.4330000        0.7952000   comment 
       6165       53.1184128      -27.8524516        0.5904484    sersic       1.501        1.6570000       26.9980000        0.3718000   comment 
       6166       53.0882295      -27.8524372        0.3444407    sersic       0.667        2.1540000      -54.9160000        0.7997000   comment 
       6167       53.0951491      -27.8533074        4.7557421    sersic       1.484        4.3900000        5.7080000        0.3624000   comment 
       6168       53.0896357      -27.8524974        1.3205724    sersic       1.984        2.3430000        8.8820000        0.4822000   comment 
       6169       53.1840095      -27.8524438        2.5602639    sersic       0.378        1.7560000       56.4100000        0.3666000   comment 
       6170       53.0821058      -27.8528725        6.5275533    sersic       1.119        2.2010000      -25.2240000        0.6992000   comment 
       6172       53.0893891      -27.8526488        2.0089074    sersic       1.293        2.8050000      -63.8360000        0.6324000   comment 
       6173       53.1617276      -27.8523767        0.4181852    sersic       1.710        0.6770000       63.5660000        0.5030000   comment 
       6175       53.1187137      -27.8527085        2.2949637    sersic       1.384        1.9970000        1.5770000        0.2568000   comment 
       6176       53.0964716      -27.8523514        0.4336463    sersic       6.115        2.7140000       49.9030000        0.9913000   comment 
       6177       53.1681801      -27.8529418        5.0022498    sersic       0.764        3.3500000       36.2950000        0.4370000   comment 
       6178       53.1684851      -27.8526687        3.3715194    sersic       0.689        2.6030000      -52.2190000        0.5867000   comment 
       6179       53.0993708      -27.8529067        9.9889834    sersic       2.746        1.3870000       59.0660000        0.6498000   comment 
       6181       53.1118446      -27.8522819        0.3151644    sersic       1.710        0.3000000       54.3350000        0.0446000   comment 
       6183       53.0931837      -27.8522489        0.5228892    sersic       5.686        0.2060000      -81.8600000        0.1977000   comment 
       6184       53.1251010      -27.8522510        0.8184525    sersic       1.388        0.5710000       58.8190000        0.4948000   comment 
       6185       53.0585562      -27.8524371        2.1954236    sersic       0.625        2.3650000       45.1750000        0.3968000   comment 
       6186       53.0943282      -27.8522347        0.4955009    sersic       0.368        0.8390000       35.5080000        0.6556000   comment 
       6187       53.1644941      -27.8521851        0.5396729    sersic       0.751        0.6570000       -2.6860000        0.9922000   comment 
       6188       53.0710309      -27.8537075       32.8594302    sersic       1.231        6.1450000      -41.8340000        0.6023000   comment 
       6190       53.0899585      -27.8523087        1.4026103    sersic       1.743        2.2160000      -31.9720000        0.4693000   comment 
       6192       53.1338033      -27.8525739        2.1745675    sersic       0.414        1.8490000      -28.7400000        0.2696000   comment 
       6194       53.1081141      -27.8521554        0.6221318    sersic       2.764        1.5240000       14.0500000        0.5357000   comment 
       6195       53.1753538      -27.8526097       22.0816994    sersic       0.699        3.4310000      -86.7000000        0.5076000   comment 
       6196       53.1504770      -27.8521479        0.2494155    sersic       0.605        1.8080000      -10.1550000        0.2913000   comment 
       6198       53.1239540      -27.8523429        1.6461387    sersic       0.926        4.9410000       30.1500000        0.5243000   comment 
       6199       53.1886166      -27.8522132        5.0997946    sersic       0.972        1.4160000      -15.4860000        0.8162000   comment 
       6200       53.0833620      -27.8520684        0.5238762    sersic       1.535        0.9110000      -19.1900000        0.9773000   comment 
       6201       53.1631123      -27.8520772        0.3634454    sersic       1.502        0.6470000        5.4570000        0.8401000   comment 
       6202       53.1725956      -27.8522093        2.8925938    sersic       3.639        0.9120000       48.8200000        0.5818000   comment 
       6204       53.0846052      -27.8520574        0.9736762    sersic       1.291        2.2620000      -67.1850000        0.4345000   comment 
       6205       53.0896744      -27.8522934        2.4645628    sersic       1.308        1.2060000       69.3050000        0.3481000   comment 
       6206       53.1256701      -27.8522303        2.1866341    sersic       1.119        1.2650000       17.0430000        0.9579000   comment 
       6207       53.1460574      -27.8519759        0.3444535    sersic       2.818        1.4460000       10.8230000        0.0801000   comment 
       6208       53.1591391      -27.8523443        3.1624163    sersic       1.080        1.8540000      -16.4240000        0.4911000   comment 
       6209       53.0724277      -27.8519560        0.2267056    sersic       2.517        0.6620000      -18.1590000        0.0393000   comment 
       6210       53.1885004      -27.8519405        1.2620330    sersic       1.252        1.3240000       28.8510000        0.6513000   comment 
       6212       53.1300716      -27.8524534        4.5618169    sersic       1.848        2.6660000      -27.3370000        0.6972000   comment 
       6213       53.1644105      -27.8519034        1.1489265    sersic       0.374        1.1190000      -63.2370000        0.5264000   comment 
       6214       53.0720273      -27.8536603       50.7639382    sersic       1.550        3.7790000       -7.5000000        0.5599000   comment 
       6215       53.1093094      -27.8518954        0.5156807    sersic       2.151        1.2760000      -33.2710000        0.9900000   comment 
       6216       53.1588273      -27.8518731        0.4200955    sersic       0.935        1.5720000       10.0730000        0.2273000   comment 
       6218       53.1183759      -27.8519405        0.8098271    sersic       1.065        1.8770000      -42.1710000        0.6143000   comment 
       6219       53.1064658      -27.8522751        7.0811430    sersic       0.659        2.0010000       20.1990000        0.6495000   comment 
       6220       53.1532737      -27.8518527        0.7005284    sersic       1.525        0.9040000      -49.3180000        0.5850000   comment 
       6222       53.1163226      -27.8519540        1.5399596    sersic       3.235        0.7640000      -52.9590000        0.5349000   comment 
       6223       53.1735456      -27.8524234       10.8183059    sersic       1.212        2.3190000        4.1840000        0.4382000   comment 
       6226       53.0867178      -27.8520991        2.3408443    sersic       1.038        2.6080000      -27.9440000        0.3553000   comment 
       6231       53.0877654      -27.8518007        0.8317660    sersic       0.686        0.5740000      -59.1160000        0.3923000   comment 
