         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6131       53.0916055      -27.8533421        0.6603386    sersic       0.396        5.9970000      -87.7840000        0.4027000   comment 
       6132       53.0754174      -27.8527828        0.5898032    sersic       4.497        0.4910000       51.2690000        0.3825000   comment 
       6135       53.1357281      -27.8528775        0.7528912    sersic       4.455        1.4350000       38.9080000        0.8037000   comment 
       6136       53.0853648      -27.8527300        0.8430121    sersic       0.770        1.8460000       44.3030000        0.5468000   comment 
       6137       53.0885593      -27.8527054        0.4892714    sersic       0.835        1.1620000      -73.1370000        0.4569000   comment 
       6139       53.1716236      -27.8532411        4.4022457    sersic       0.758        4.4980000      -50.7170000        0.2798000   comment 
       6141       53.0943066      -27.8534951       20.8543212    sersic       0.832        2.5540000      -61.9860000        0.3808000   comment 
       6143       53.0817636      -27.8526661        0.4281686    sersic       1.980      218.1820000       49.7990000        0.0089000   comment 
       6144       53.1065407      -27.8528296        1.3358793    sersic       0.842        3.8910000       63.4190000        0.1882000   comment 
       6146       53.0899818      -27.8528876        1.8267841    sersic       1.051        1.0240000        3.5850000        0.6167000   comment 
       6147       53.1951930      -27.8526120        0.5978042    sersic       3.161        0.8230000       71.6410000        0.5548000   comment 
       6148       53.1177092      -27.8527647        0.9379014    sersic       4.487        1.4720000       78.1690000        0.3208000   comment 
       6149       53.1530891      -27.8526873        1.1945675    sersic       1.832        0.9390000       58.0460000        0.6355000   comment 
       6150       53.0677125      -27.8530609        3.7585149    sersic       0.959        3.2070000      -16.6970000        0.4422000   comment 
       6154       53.1398420      -27.8525595        0.3592660    sersic       6.899        1.0050000       60.7450000        0.0636000   comment 
       6155       53.0965885      -27.8525584        0.3910345    sersic       8.000        3.2180000      -76.2910000        0.2413000   comment 
       6156       53.1748836      -27.8525489        0.4449837    sersic       0.879        0.1730000      -33.8290000        0.1001000   comment 
       6159       53.1646920      -27.8533358       19.3667618    sersic       0.825        3.4660000       87.1170000        0.5623000   comment 
       6161       53.0907102      -27.8524938        0.2003425    sersic       7.308        0.8310000      -38.1110000        0.0355000   comment 
       6162       53.1459183      -27.8524842        0.3640413    sersic       4.709        2.7560000       79.3920000        0.1292000   comment 
       6163       53.1642518      -27.8535196       23.3111617    sersic       1.164        4.6260000      -15.4330000        0.7952000   comment 
       6165       53.1184128      -27.8524516        0.5944118    sersic       5.951        1.6350000       58.5860000        0.0738000   comment 
       6166       53.0882295      -27.8524372        0.2998156    sersic       0.667        2.1540000      -54.9160000        0.7997000   comment 
       6167       53.0951491      -27.8533074        4.2195952    sersic       1.664        5.1120000        2.0750000        0.3076000   comment 
       6168       53.0896357      -27.8524974        1.4948067    sersic       2.177        2.3940000       41.9460000        0.5662000   comment 
       6169       53.1840095      -27.8524438        1.6488569    sersic       0.901        1.6990000       50.6180000        0.3893000   comment 
       6170       53.0821058      -27.8528725        6.3509999    sersic       1.146        2.1740000      -28.0790000        0.7628000   comment 
       6172       53.0893891      -27.8526488        1.6475188    sersic       1.144        3.0590000      -66.4170000        0.3309000   comment 
       6173       53.1617276      -27.8523767        0.5505432    sersic       3.348        0.5540000       -2.5790000        0.0172000   comment 
       6175       53.1187137      -27.8527085        1.6809125    sersic       2.107        2.3070000        2.3930000        0.2958000   comment 
       6176       53.0964716      -27.8523514        0.4894992    sersic       3.449        7.3830000      -29.0090000        0.3518000   comment 
       6177       53.1681801      -27.8529418        4.7871004    sersic       0.764        3.3500000       36.2950000        0.4370000   comment 
       6178       53.1684851      -27.8526687        3.4197056    sersic       0.689        2.6030000      -52.2190000        0.5867000   comment 
       6179       53.0993708      -27.8529067        7.6636978    sersic       2.800        1.3990000       50.4590000        0.6453000   comment 
       6180       53.1657268      -27.8522739        0.4503387    sersic       8.000       32.3690000       41.0440000        0.4459000   comment 
       6181       53.1118446      -27.8522819        0.3179632    sersic       0.200        1.0450000       31.6070000        0.4518000   comment 
       6183       53.0931837      -27.8522489        0.4527770    sersic       5.686        0.2060000      -81.8600000        0.1977000   comment 
       6184       53.1251010      -27.8522510        1.0867714    sersic       1.388        0.5710000       58.8190000        0.4948000   comment 
       6185       53.0585562      -27.8524371        1.4322638    sersic       0.385        2.0980000       45.2980000        0.3379000   comment 
       6186       53.0943282      -27.8522347        0.2293247    sersic       8.000       31.3440000      -21.8340000        0.2898000   comment 
       6187       53.1644941      -27.8521851        0.6723426    sersic       1.491        0.7200000       37.7880000        0.6551000   comment 
       6188       53.0710309      -27.8537075       28.4067124    sersic       1.070        6.5360000      -38.6740000        0.6165000   comment 
       6190       53.0899585      -27.8523087        1.0257953    sersic       2.389        1.2200000      -10.2800000        0.6495000   comment 
       6192       53.1338033      -27.8525739        1.8901392    sersic       0.595        2.2580000      -27.2570000        0.2963000   comment 
