         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6071       53.0946379      -27.8538123        4.5131828    sersic       1.342        2.9330000      -57.1670000        0.3208000   comment 
       6072       53.0703635      -27.8534171        0.6898531    sersic       0.610        0.9090000      -86.4470000        0.5019000   comment 
       6073       53.1463385      -27.8534022        0.8443886    sersic       0.467        2.6130000       -2.1090000        0.3803000   comment 
       6074       53.1728479      -27.8533923        0.8606297    sersic       0.419        2.3310000       51.6630000        0.5246000   comment 
       6075       53.1397462      -27.8533928        0.5430107    sersic       0.663        2.8690000       29.7650000        0.2237000   comment 
       6076       53.1854994      -27.8538043        5.2299183    sersic       0.758        4.1840000        4.0690000        0.3231000   comment 
       6078       53.1926222      -27.8533076        1.3649832    sersic       0.979        1.5990000       38.3530000        0.3787000   comment 
       6081       53.1563165      -27.8533218        0.9011886    sersic       1.323        2.8040000       74.9670000        0.3269000   comment 
       6083       53.0883639      -27.8533122        0.3427757    sersic       0.527        0.7470000      -47.1110000        0.5656000   comment 
       6084       53.0975822      -27.8533074        0.6369835    sersic       0.352        1.1900000       40.6130000        0.8192000   comment 
       6087       53.1162190      -27.8532456        0.5034076    sersic       4.013        1.4210000      -72.9020000        0.0753000   comment 
       6090       53.1474166      -27.8532374        0.7445426    sersic       1.543        1.5330000      -78.5560000        0.5906000   comment 
       6092       53.1246296      -27.8534417        2.5279464    sersic       0.542        1.1150000      -15.2680000        0.7652000   comment 
       6096       53.0919356      -27.8533490        2.3360469    sersic       1.169        1.4530000       64.1190000        0.4209000   comment 
       6097       53.1384543      -27.8531761        0.7950308    sersic       0.643        1.1930000      -73.0810000        0.5413000   comment 
       6099       53.1883693      -27.8535323       28.9848331    sersic       1.940        1.2500000       66.0860000        0.7606000   comment 
       6100       53.1238172      -27.8531308        0.8332648    sersic       2.097        1.4940000      -75.7940000        0.4390000   comment 
       6101       53.1247461      -27.8536848        3.4211551    sersic       0.829        2.1270000       40.5680000        0.5775000   comment 
       6102       53.1638038      -27.8532638        1.8807088    sersic       0.513        1.0300000       52.7870000        0.2787000   comment 
       6103       53.0930898      -27.8531882        1.1580303    sersic       1.083        0.9870000        3.5820000        0.5540000   comment 
       6104       53.0768496      -27.8530978        1.2929412    sersic       1.351        1.3900000       75.2750000        0.6049000   comment 
       6105       53.0817046      -27.8533396        4.4098878    sersic       1.177        1.3810000      -61.1380000        0.5675000   comment 
       6106       53.1945063      -27.8530395        1.3635994    sersic       0.540        3.7320000       13.2450000        0.3260000   comment 
       6107       53.1443636      -27.8530243        0.6364139    sersic       2.846        0.1640000       48.2290000        0.0464000   comment 
       6108       53.1823318      -27.8532755        7.2139362    sersic       1.842        2.6250000        8.5650000        0.3781000   comment 
       6110       53.1298348      -27.8531461        1.5389444    sersic       1.315        3.0630000      -49.0470000        0.9092000   comment 
       6111       53.0882230      -27.8529884        0.3143887    sersic       1.876        0.4150000      -10.1490000        0.4509000   comment 
       6113       53.0892482      -27.8529514        0.9029303    sersic       0.571        1.2630000      -71.6620000        0.5409000   comment 
       6115       53.1549711      -27.8530594        1.2333263    sersic       1.448        1.6730000      -58.2980000        0.6312000   comment 
       6117       53.1369615      -27.8530932        1.7411100    sersic       0.958        0.9900000      -58.0120000        0.5610000   comment 
       6118       53.0823342      -27.8536062        5.7711192    sersic       1.879        1.5460000        1.7700000        0.3855000   comment 
       6119       53.1010437      -27.8536256        4.6893582    sersic       1.718        2.2120000        2.1950000        0.1979000   comment 
       6121       53.1160605      -27.8528783        0.4700373    sersic       0.531        1.4910000      -17.8850000        0.0309000   comment 
       6125       53.1726616      -27.8529803        2.4961965    sersic       0.655        2.0160000      -68.0760000        0.4057000   comment 
       6127       53.1053345      -27.8529493        2.0513667    sersic       0.641        1.3550000       73.4360000        0.7601000   comment 
       6128       53.1421260      -27.8531798        8.3095262    sersic       1.164        1.4850000      -83.9310000        0.7174000   comment 
       6130       53.0856944      -27.8529694        1.7330338    sersic       2.241        1.0180000       -1.6930000        0.6170000   comment 
       6131       53.0916055      -27.8533421        7.9268984    sersic       0.862        4.2250000      -63.9230000        0.6679000   comment 
       6132       53.0754174      -27.8527828        1.0832612    sersic       4.497        0.4910000       51.2690000        0.3825000   comment 
       6135       53.1357281      -27.8528775        1.3207659    sersic       5.282        1.5550000      -26.4160000        0.7804000   comment 
       6136       53.0853648      -27.8527300        0.4594188    sersic       0.770        1.8460000       44.3030000        0.5468000   comment 
       6137       53.0885593      -27.8527054        0.4726203    sersic       0.835        1.1620000      -73.1370000        0.4569000   comment 
       6139       53.1716236      -27.8532411        6.1065015    sersic       1.068        4.2220000      -50.6560000        0.2978000   comment 
       6141       53.0943066      -27.8534951       22.8666420    sersic       0.868        2.6760000      -61.7050000        0.3640000   comment 
       6143       53.0817636      -27.8526661        0.4911721    sersic       2.038        0.6220000       23.0570000        0.0179000   comment 
       6144       53.1065407      -27.8528296        1.5490775    sersic       0.842        3.8910000       63.4190000        0.1882000   comment 
       6146       53.0899818      -27.8528876        2.7056462    sersic       1.043        1.2270000       30.0350000        0.5756000   comment 
       6147       53.1951930      -27.8526120        1.0164784    sersic       2.109        0.8140000       73.9360000        0.4449000   comment 
       6148       53.1177092      -27.8527647        1.7654821    sersic       1.925        1.3090000       67.6320000        0.4341000   comment 
       6149       53.1530891      -27.8526873        2.2081618    sersic       0.952        1.1000000       62.2130000        0.6290000   comment 
       6150       53.0677125      -27.8530609        2.9054531    sersic       0.910        2.7850000      -21.2490000        0.4751000   comment 
       6154       53.1398420      -27.8525595        0.4853372    sersic       5.707        1.0010000       46.6110000        0.2249000   comment 
       6155       53.0965885      -27.8525584        0.3172856    sersic       2.388        0.9330000       31.5210000        0.0432000   comment 
       6156       53.1748836      -27.8525489        4.1396390    sersic       0.879        0.1730000      -33.8290000        0.1001000   comment 
       6159       53.1646920      -27.8533358       20.9228011    sersic       0.959        3.4310000       87.2340000        0.5464000   comment 
       6161       53.0907102      -27.8524938        0.6000159    sersic       0.305        0.1640000       47.7810000        0.0833000   comment 
       6162       53.1459183      -27.8524842        0.5494620    sersic       2.117        1.9360000      -69.1810000        0.1771000   comment 
       6163       53.1642518      -27.8535196       18.3417154    sersic       1.284        4.6890000      -16.3840000        0.7589000   comment 
       6165       53.1184128      -27.8524516        0.4009570    sersic       1.501        1.6570000       26.9980000        0.3718000   comment 
       6166       53.0882295      -27.8524372        0.6515344    sersic       0.793        1.9960000       73.2850000        0.0566000   comment 
       6167       53.0951491      -27.8533074        3.7686251    sersic       1.739        4.4080000        4.9290000        0.3933000   comment 
       6168       53.0896357      -27.8524974        0.8125844    sersic       1.750        2.9310000       -0.4740000        0.4114000   comment 
       6169       53.1840095      -27.8524438        2.9305866    sersic       0.378        1.7560000       56.4100000        0.3666000   comment 
       6170       53.0821058      -27.8528725        5.1370969    sersic       0.825        2.0850000      -23.3360000        0.7610000   comment 
       6172       53.0893891      -27.8526488        3.2402884    sersic       0.819        2.9330000      -54.8650000        0.5198000   comment 
       6173       53.1617276      -27.8523767        0.3774213    sersic       1.710        0.6770000       63.5660000        0.5030000   comment 
       6175       53.1187137      -27.8527085        2.7264977    sersic       1.384        1.9970000        1.5770000        0.2568000   comment 
       6176       53.0964716      -27.8523514        0.4845962    sersic       6.115        2.7140000       49.9030000        0.9913000   comment 
       6177       53.1681801      -27.8529418        5.1387256    sersic       0.812        2.8380000       33.6820000        0.5422000   comment 
       6178       53.1684851      -27.8526687        4.5928278    sersic       0.689        2.6030000      -52.2190000        0.5867000   comment 
       6179       53.0993708      -27.8529067        9.1433201    sersic       2.465        1.5140000       54.8830000        0.6199000   comment 
       6181       53.1118446      -27.8522819        0.4824145    sersic       1.710        0.3000000       54.3350000        0.0446000   comment 
       6183       53.0931837      -27.8522489        0.6045680    sersic       5.686        0.2060000      -81.8600000        0.1977000   comment 
       6184       53.1251010      -27.8522510        0.5162392    sersic       1.864        0.6020000       53.2230000        0.2400000   comment 
       6185       53.0585562      -27.8524371        1.8727342    sersic       0.629        2.4800000       46.8930000        0.4134000   comment 
       6186       53.0943282      -27.8522347        0.5814745    sersic       0.368        0.8390000       35.5080000        0.6556000   comment 
       6187       53.1644941      -27.8521851        0.7540446    sersic       0.751        0.6570000       -2.6860000        0.9922000   comment 
       6188       53.0710309      -27.8537075       27.4676402    sersic       1.226        6.3160000      -36.1030000        0.6030000   comment 
       6190       53.0899585      -27.8523087        1.7969725    sersic       1.743        2.2160000      -31.9720000        0.4693000   comment 
       6192       53.1338033      -27.8525739        3.1351445    sersic       0.372        1.7430000      -26.1990000        0.0460000   comment 
       6194       53.1081141      -27.8521554        0.5955903    sersic       2.439        1.0890000       39.4820000        0.4966000   comment 
       6195       53.1753538      -27.8526097       16.8668172    sersic       0.783        3.2720000      -86.8460000        0.5294000   comment 
       6196       53.1504770      -27.8521479        0.7160676    sersic       0.605        1.8080000      -10.1550000        0.2913000   comment 
       6198       53.1239540      -27.8523429        1.9574320    sersic       1.256        5.3140000       20.6710000        0.5871000   comment 
       6199       53.1886166      -27.8522132        4.1413151    sersic       0.910        1.4770000       35.1750000        0.6879000   comment 
       6200       53.0833620      -27.8520684        0.3372974    sersic       1.535        0.9110000      -19.1900000        0.9773000   comment 
       6201       53.1631123      -27.8520772        0.3633586    sersic       1.502        0.6470000        5.4570000        0.8401000   comment 
       6202       53.1725956      -27.8522093        1.8590448    sersic       3.639        0.9120000       48.8200000        0.5818000   comment 
       6204       53.0846052      -27.8520574        1.2779374    sersic       1.171        2.4440000      -70.8060000        0.6320000   comment 
       6205       53.0896744      -27.8522934        2.3803977    sersic       1.079        1.2720000       71.0660000        0.3516000   comment 
       6206       53.1256701      -27.8522303        1.8355317    sersic       1.119        1.2650000       17.0430000        0.9579000   comment 
       6207       53.1460574      -27.8519759        0.5408675    sersic       2.818        1.4460000       10.8230000        0.0801000   comment 
