x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
2288.26,3559.8,28.091,0.247,27.7803605582,5.8e-12,0.005,2.7,4.4,-0.01
2970.79,902.68,28.25,0.284,99.99,5.01e-12,0.108,4.951,3.8,0.001
2131.75,3398.22,27.981,0.234,28.2093122297,6.42e-12,0.014,1.075,4.6,0.014
1893.5,2764.51,27.933,0.18,27.5524241866,6.71e-12,0.006,0.745,6.0,-0.055
905.87,3992.23,28.128,0.282,99.99,5.61e-12,0.001,0.456,3.8,-0.009
3661.42,1310.34,27.925,0.194,27.557987061,6.76e-12,0.003,2.929,5.6,0.049
742.31,3827.14,27.775,0.193,27.6550327688,7.76e-12,0.007,0.23,5.6,-0.011
2091.82,1123.86,28.11,0.277,99.99,5.7e-12,0.009,1.582,3.9,0.055
3652.15,673.28,24.114,0.009,25.7843837181,2.26e-10,0.001,0.05,115.7,-0.011
3334.08,1150.18,28.069,0.274,99.99,5.92e-12,0.01,-0.065,4.0,-0.055
1377.7,1451.8,23.307,0.005,23.0511573148,4.75e-10,0.0,0.055,198.0,-0.001
3601.62,572.21,27.65,0.166,27.5248284949,8.71e-12,0.019,1.623,6.5,0.042
2804.41,2554.72,27.657,0.152,27.5145151529,8.66e-12,0.027,1.157,7.1,-0.015
3418.8,987.04,25.016,0.201,99.99,9.85e-11,0.367,9.525,5.4,0.897
2386.91,1472.94,26.524,0.195,27.6059019059,2.46e-11,0.129,0.41,5.6,-0.169
3231.31,2685.9,24.479,0.012,24.2289408476,1.62e-10,0.007,0.269,89.7,0.001
1619.62,1283.3,27.91,0.198,27.5650897291,6.85e-12,0.005,-0.261,5.5,0.07
2479.05,3665.12,26.668,0.219,99.99,2.15e-11,0.088,-0.028,5.0,-0.188
29.69,2277.41,25.461,0.024,25.1748768357,6.54e-11,0.001,0.138,44.8,-0.004
1729.42,2062.9,26.111,0.043,25.8765666288,3.59e-11,0.002,0.196,25.1,-0.0
1764.41,2803.82,27.35,0.123,27.4258210287,1.15e-11,0.027,0.585,8.9,0.017
3688.27,3528.13,27.264,0.125,27.5616708745,1.24e-11,0.028,0.144,8.7,0.039
2311.58,1181.36,28.413,0.301,28.6371491223,4.31e-12,0.016,0.126,3.6,0.003
3236.93,2993.19,28.047,0.271,99.99,6.04e-12,0.006,0.584,4.0,0.058
422.7,1625.48,23.471,0.006,21.0250146202,4.09e-10,0.003,0.031,181.8,-0.002
1794.55,3793.02,28.145,0.269,99.99,5.52e-12,0.021,1.531,4.0,-0.02
1264.43,2874.98,26.747,0.077,26.6653353867,2e-11,0.004,0.386,14.2,0.001
1005.2,3948.38,26.401,0.054,26.1838619595,2.75e-11,0.001,0.41,20.0,-0.009
385.19,1102.4,27.906,0.206,27.595906201,6.88e-12,0.028,2.721,5.3,0.099
3371.24,1318.5,27.858,0.183,27.68861101,7.19e-12,0.077,0.447,5.9,-0.03
2471.62,641.15,27.154,0.11,25.8277039869,1.38e-11,0.0,0.559,9.9,-0.05
457.49,1920.18,27.524,0.145,27.2165357389,9.78e-12,0.002,0.205,7.5,0.025
1404.58,1648.34,27.422,0.124,27.5318623273,1.07e-11,0.061,0.408,8.7,-0.022
1116.03,2880.96,23.027,0.011,26.8343597862,6.16e-10,0.2,0.045,102.3,-0.004
2340.57,997.6,27.639,0.145,27.4903813208,8.79e-12,0.032,0.346,7.5,0.025
511.61,2881.92,26.67,0.072,26.4636421034,2.15e-11,0.012,0.054,15.2,-0.008
2160.63,2049.71,28.0,0.211,27.7645049198,6.31e-12,0.003,3.846,5.1,0.094
2074.69,3684.63,27.249,0.108,27.1896852027,1.26e-11,0.003,0.874,10.1,0.046
503.23,898.94,28.146,0.281,99.99,5.51e-12,0.006,1.499,3.9,-0.02
2377.82,3367.1,27.37,0.147,27.1896885546,1.13e-11,0.007,1.56,7.4,-0.077
1937.71,256.97,28.169,0.288,99.99,5.4e-12,0.078,1.199,3.8,-0.06
2838.25,1693.51,27.588,0.144,27.3123278984,9.22e-12,0.003,-0.104,7.6,-0.014
3376.03,3996.38,22.57,0.004,24.5735408761,9.38e-10,0.194,0.271,307.9,-0.253
1907.34,3974.18,26.222,0.048,25.9821734408,3.24e-11,0.001,0.43,22.6,-0.003
2277.6,1389.3,23.979,0.008,23.7207506069,2.56e-10,0.0,0.004,129.4,0.001
1974.86,1298.17,23.54,0.007,27.247552586,3.84e-10,0.164,1.852,165.8,-0.038
2709.58,2842.69,27.765,0.166,27.6021980143,7.84e-12,0.007,0.257,6.5,-0.025
1289.16,798.11,28.161,0.297,99.99,5.44e-12,0.027,-0.365,3.7,-0.001
3864.2,3277.81,25.981,0.04,25.72690791,4.05e-11,0.007,0.148,27.2,0.015
1831.32,3764.87,27.055,0.098,26.8156907182,1.51e-11,0.012,0.095,11.1,-0.002
451.96,3045.29,28.02,0.252,28.5802714366,6.19e-12,0.053,2.738,4.3,0.069
3323.24,2071.73,27.9,0.202,27.8893536918,6.92e-12,0.009,-0.42,5.4,0.077
2084.56,3071.47,28.504,0.312,28.3013769873,3.97e-12,0.06,5.969,3.5,0.043
3248.28,804.64,26.631,0.062,26.4564237339,2.23e-11,0.007,0.043,17.4,-0.006
3052.3,2585.43,27.644,0.15,27.5501107167,8.76e-12,0.032,0.052,7.2,-0.003
3813.62,1352.21,28.28,0.307,27.4017367527,4.88e-12,2.025,-0.642,3.5,0.087
2376.43,2445.9,24.88,0.016,24.7007651852,1.12e-10,0.001,0.136,67.6,-0.002
3493.01,2708.62,25.735,0.032,25.4890707317,5.08e-11,0.055,0.477,33.5,0.005
1459.56,3438.78,27.662,0.158,27.6484186275,8.61e-12,0.003,1.436,6.9,0.01
1194.99,3872.01,27.902,0.248,27.6634521021,6.9e-12,0.032,0.51,4.4,-0.089
3042.05,3120.01,27.466,0.165,27.4721844855,1.03e-11,0.003,0.202,6.6,-0.005
382.28,1969.37,27.492,0.136,27.4274821581,1.01e-11,0.019,1.979,8.0,0.005
2921.42,2550.28,28.411,0.309,99.99,4.32e-12,0.007,0.436,3.5,-0.014
3325.04,3395.98,27.581,0.183,27.3724317066,9.28e-12,0.014,0.017,5.9,-0.011
1594.46,2029.08,27.677,0.174,25.1661654259,8.49e-12,0.009,-0.07,6.2,-0.074
3087.51,499.11,28.21,0.279,99.99,5.2e-12,0.219,3.712,3.9,0.009
1774.77,1853.81,27.447,0.145,27.6976540236,1.05e-11,0.113,0.618,7.5,-0.011
1478.99,3626.96,27.778,0.22,27.5421650366,7.74e-12,0.116,3.287,4.9,0.113
1851.74,1053.86,27.748,0.192,27.4246120017,7.96e-12,0.019,3.031,5.7,-0.017
2285.6,2971.17,26.866,0.084,26.7202385688,1.79e-11,0.008,0.867,12.9,-0.051
4051.95,598.03,26.66,0.228,99.99,2.17e-11,0.411,0.21,4.8,0.025
1735.74,3951.06,27.598,0.175,27.4487044155,9.14e-12,0.008,0.165,6.2,-0.063
2307.74,3745.42,28.185,0.256,27.5646949713,5.32e-12,0.024,3.761,4.2,0.034
112.72,2676.24,26.424,0.057,27.3354543492,2.7e-11,0.009,0.218,19.0,0.001
3142.31,3948.82,27.773,0.183,27.4846788836,7.78e-12,0.179,0.657,5.9,0.047
3316.3,3177.84,27.411,0.134,27.4893051999,1.09e-11,0.004,-0.134,8.1,-0.046
1650.74,3969.09,26.616,0.073,23.0640926546,2.26e-11,0.007,-0.112,15.0,-0.002
2548.14,122.42,28.107,0.25,27.7230142667,5.72e-12,0.057,0.043,4.3,0.102
3626.52,101.25,27.975,0.21,27.6532780605,6.46e-12,0.048,5.553,5.2,0.073
2314.18,1485.5,27.821,0.183,27.5086353618,7.44e-12,0.002,0.776,5.9,0.018
2714.1,1884.37,28.197,0.281,99.99,5.26e-12,0.015,-1.106,3.9,0.056
2176.69,2340.32,28.366,0.302,99.99,4.5e-12,0.03,-0.724,3.6,0.039
725.66,3628.97,27.364,0.137,26.9164207757,1.13e-11,0.019,-1.049,7.9,0.008
51.5,3351.43,28.494,0.307,99.99,4e-12,0.013,0.651,3.5,-0.013
3961.6,2229.79,27.707,0.169,27.2998500143,8.26e-12,0.016,0.639,6.4,0.005
2134.12,3089.0,27.72,0.203,27.3662346444,8.17e-12,0.057,0.726,5.3,0.072
2467.79,3614.77,27.661,0.174,28.0706276303,8.62e-12,0.011,0.68,6.2,-0.185
90.84,3933.4,25.891,0.036,26.9656912426,4.4e-11,0.006,0.166,29.8,-0.016
2187.12,1897.14,28.078,0.278,99.99,5.87e-12,0.041,-0.149,3.9,-0.08
2626.91,2675.46,27.787,0.192,27.3384049812,7.68e-12,0.111,0.563,5.6,0.04
3000.23,3339.39,27.734,0.173,27.5834993254,8.06e-12,0.007,0.636,6.3,-0.091
1975.01,1651.07,27.772,0.22,27.4244831364,7.79e-12,0.061,0.005,4.9,0.07
1035.53,2939.2,26.942,0.087,26.7598159011,1.67e-11,0.009,0.395,12.5,0.015
3717.88,1564.98,27.592,0.184,99.99,9.19e-12,0.287,0.094,5.9,-0.114
2086.55,3214.39,27.891,0.184,27.4768168807,6.98e-12,0.003,3.472,5.9,0.035
3461.07,1317.49,28.28,0.295,99.99,4.88e-12,0.02,3.089,3.7,0.038
2613.29,544.17,28.028,0.241,99.99,6.15e-12,0.006,-0.316,4.5,-0.054
3042.22,3864.01,27.465,0.155,27.7356742655,1.03e-11,0.008,0.166,7.0,-0.01
3121.77,1322.79,27.889,0.214,27.7117148764,6.99e-12,0.012,2.985,5.1,-0.09
4020.44,3520.56,27.691,0.15,25.3882621161,8.38e-12,0.152,1.973,7.3,0.036
3492.07,924.15,27.974,0.257,27.9081885828,6.47e-12,0.364,0.894,4.2,-0.063
2498.99,1594.42,27.976,0.233,27.682025849,6.45e-12,0.139,1.931,4.7,0.087
110.69,3816.01,28.224,0.302,99.99,5.14e-12,0.019,-0.427,3.6,-0.006
3166.5,992.23,28.19,0.258,27.6970161478,5.29e-12,0.005,-0.236,4.2,0.013
2749.84,134.42,27.161,0.108,27.3671801377,1.37e-11,0.024,0.295,10.0,0.034
2586.06,2418.31,27.342,0.134,27.6362772592,1.16e-11,0.01,0.523,8.1,-0.01
498.48,68.2,28.376,0.311,29.6546522884,4.46e-12,0.004,4.696,3.5,0.06
377.9,2909.7,24.038,0.009,23.7650343126,2.43e-10,0.0,0.025,122.0,0.003
1919.21,2748.67,28.259,0.278,99.99,4.97e-12,0.026,0.585,3.9,-0.025
3107.9,1547.24,24.687,0.015,25.4989207773,1.33e-10,0.001,-0.01,73.8,-0.01
1958.46,3786.94,27.877,0.207,28.1996908229,7.06e-12,0.015,-0.323,5.3,0.062
259.7,883.12,26.357,0.056,21.1069228121,2.87e-11,0.055,0.45,19.3,0.011
1244.68,2369.34,26.487,0.057,26.1801287158,2.54e-11,0.0,-0.117,19.1,-0.019
2826.76,2003.04,27.826,0.217,27.6381868204,7.41e-12,0.019,0.252,5.0,-0.054
2339.9,3862.9,27.807,0.22,27.5925034946,7.54e-12,0.227,0.89,4.9,0.044
1242.56,878.89,28.283,0.294,27.629327397,4.86e-12,0.009,0.647,3.7,0.075
2521.54,1652.25,27.531,0.143,27.4583641438,9.72e-12,0.002,0.246,7.6,-0.037
2580.11,3555.18,24.48,0.013,24.4703464225,1.61e-10,0.026,0.104,85.7,-0.003
