x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
4024.25,2745.59,24.534,0.039,25.8100526708,1.54e-10,0.007,0.285,27.8,-0.007
2930.8,891.07,26.375,0.198,99.99,2.82e-11,0.028,0.232,5.5,-0.305
1018.59,3919.53,24.967,0.056,25.0091598445,1.03e-10,0.014,0.296,19.4,0.027
2722.5,1051.0,26.569,0.233,26.9026225002,2.36e-11,0.003,0.561,4.7,0.019
2974.96,606.34,24.357,0.034,29.1677815696,1.81e-10,0.011,0.1,32.2,-0.029
3945.68,2989.41,25.21,0.069,25.2814548033,8.24e-11,0.044,2.236,15.7,-0.015
1303.51,3896.1,25.743,0.11,25.4559486554,5.04e-11,0.015,-0.109,9.8,-0.051
3018.66,1722.17,24.232,0.03,24.3383624677,2.03e-10,0.002,0.141,35.8,-0.023
3938.92,1442.12,26.74,0.275,27.0691079731,2.01e-11,0.024,2.834,3.9,0.02
3026.7,1843.94,25.45,0.086,24.9348437847,6.6e-11,0.007,0.254,12.6,0.039
2955.17,1754.59,26.372,0.195,26.5418843229,2.83e-11,0.061,-0.196,5.6,-0.117
2136.51,3567.98,24.555,0.04,24.490651877,1.51e-10,0.014,0.22,27.3,-0.027
318.59,588.21,26.422,0.204,99.99,2.7e-11,0.047,0.416,5.3,-0.302
2604.5,3815.96,26.791,0.285,99.99,1.92e-11,0.016,0.179,3.8,0.066
140.3,3861.28,26.804,0.287,27.0243568492,1.9e-11,0.022,0.941,3.8,0.121
1415.19,110.21,25.278,0.074,25.2044811524,7.74e-11,0.02,0.137,14.6,-0.008
1657.68,1560.64,26.739,0.27,26.9168385977,2.02e-11,0.012,0.432,4.0,0.057
1950.78,2896.8,26.412,0.205,26.6828463046,2.72e-11,0.153,0.596,5.3,-0.152
1227.09,3046.98,25.542,0.095,25.6177662215,6.07e-11,0.085,0.649,11.5,-0.045
84.98,3086.71,25.906,0.129,26.0048785138,4.34e-11,0.06,1.135,8.4,0.092
120.63,2931.08,24.646,0.043,26.9940754224,1.39e-10,0.008,-0.028,25.5,-0.064
3150.38,3160.94,26.128,0.158,26.264344175,3.54e-11,0.025,0.35,6.9,0.018
906.22,2670.46,24.995,0.058,24.9790720079,1e-10,0.016,0.047,18.8,0.001
