         T         c12         c13         c14 
   1052.45  14.2304094  18.8401811  21.9631247 
   1052.94  14.2232208  18.8305390  21.9517725 
   1053.42  14.2160356  18.8209014  21.9404256 
   1053.91  14.2088537  18.8112683  21.9290839 
   1054.39  14.2016752  18.8016396  21.9177474 
   1054.88  14.1944999  18.7920153  21.9064162 
   1055.36  14.1873279  18.7823954  21.8950902 
   1055.85  14.1801592  18.7727800  21.8837694 
   1056.34  14.1729938  18.7631690  21.8724538 
   1056.82  14.1658318  18.7535624  21.8611434 
   1057.31  14.1586730  18.7439602  21.8498382 
   1057.80  14.1515175  18.7343625  21.8385382 
   1058.28  14.1443653  18.7247692  21.8272435 
   1058.77  14.1372164  18.7151803  21.8159539 
   1059.26  14.1300708  18.7055958  21.8046696 
   1059.75  14.1229285  18.6960158  21.7933904 
   1060.24  14.1157895  18.6864401  21.7821164 
   1060.72  14.1086537  18.6768689  21.7708477 
   1061.21  14.1015213  18.6673020  21.7595841 
   1061.70  14.0943921  18.6577396  21.7483257 
   1062.19  14.0872662  18.6481816  21.7370725 
   1062.68  14.0801436  18.6386279  21.7258245 
   1063.17  14.0730243  18.6290787  21.7145817 
   1063.66  14.0659083  18.6195339  21.7033440 
   1064.15  14.0587955  18.6099934  21.6921115 
   1064.64  14.0516860  18.6004574  21.6808842 
   1065.13  14.0445798  18.5909257  21.6696621 
   1065.62  14.0374768  18.5813985  21.6584451 
   1066.11  14.0303771  18.5718756  21.6472333 
   1066.60  14.0232807  18.5623571  21.6360267 
   1067.09  14.0161876  18.5528430  21.6248252 
   1067.59  14.0090977  18.5433333  21.6136289 
   1068.08  14.0020111  18.5338279  21.6024378 
   1068.57  13.9949278  18.5243270  21.5912518 
   1069.06  13.9878477  18.5148304  21.5800710 
   1069.55  13.9807709  18.5053381  21.5688953 
   1070.05  13.9736973  18.4958503  21.5577247 
   1070.54  13.9666270  18.4863668  21.5465593 
   1071.03  13.9595599  18.4768877  21.5353991 
   1071.53  13.9524961  18.4674129  21.5242440 
   1072.02  13.9454356  18.4579426  21.5130940 
   1072.51  13.9383783  18.4484765  21.5019492 
   1073.01  13.9313242  18.4390149  21.4908095 
   1073.50  13.9242734  18.4295575  21.4796749 
   1074.00  13.9172259  18.4201046  21.4685455 
   1074.49  13.9101816  18.4106560  21.4574212 
   1074.99  13.9031405  18.4012117  21.4463020 
   1075.48  13.8961027  18.3917718  21.4351879 
   1075.98  13.8890681  18.3823363  21.4240790 
   1076.47  13.8820368  18.3729051  21.4129751 
   1076.97  13.8750087  18.3634782  21.4018764 
   1077.47  13.8679838  18.3540557  21.3907828 
   1077.96  13.8609622  18.3446375  21.3796944 
   1078.46  13.8539438  18.3352236  21.3686110 
   1078.95  13.8469286  18.3258141  21.3575327 
   1079.45  13.8399166  18.3164089  21.3464596 
   1079.95  13.8329079  18.3070081  21.3353915 
   1080.45  13.8259025  18.2976115  21.3243285 
   1080.94  13.8189002  18.2882193  21.3132707 
   1081.44  13.8119012  18.2788315  21.3022179 
   1081.94  13.8049054  18.2694479  21.2911702 
   1082.44  13.7979128  18.2600687  21.2801276 
   1082.94  13.7909234  18.2506938  21.2690901 
   1083.44  13.7839373  18.2413232  21.2580577 
   1083.94  13.7769543  18.2319569  21.2470304 
   1084.43  13.7699746  18.2225949  21.2360081 
   1084.93  13.7629981  18.2132373  21.2249909 
   1085.43  13.7560248  18.2038839  21.2139788 
   1085.93  13.7490547  18.1945349  21.2029718 
   1086.43  13.7420879  18.1851902  21.1919698 
   1086.94  13.7351242  18.1758497  21.1809729 
   1087.44  13.7281637  18.1665136  21.1699811 
   1087.94  13.7212065  18.1571818  21.1589944 
   1088.44  13.7142524  18.1478542  21.1480127 
   1088.94  13.7073016  18.1385310  21.1370360 
   1089.44  13.7003539  18.1292120  21.1260645 
   1089.94  13.6934095  18.1198974  21.1150979 
   1090.44  13.6864682  18.1105870  21.1041365 
   1090.95  13.6795302  18.1012809  21.0931800 
   1091.45  13.6725953  18.0919792  21.0822287 
   1091.95  13.6656637  18.0826816  21.0712823 
   1092.46  13.6587352  18.0733884  21.0603411 
   1092.96  13.6518099  18.0640995  21.0494048 
   1093.46  13.6448878  18.0548148  21.0384736 
   1093.97  13.6379689  18.0455344  21.0275474 
   1094.47  13.6310532  18.0362583  21.0166263 
   1094.97  13.6241406  18.0269864  21.0057102 
   1095.48  13.6172313  18.0177188  20.9947991 
   1095.98  13.6103251  18.0084555  20.9838931 
   1096.49  13.6034221  17.9991965  20.9729921 
   1096.99  13.5965223  17.9899417  20.9620961 
   1097.50  13.5896257  17.9806912  20.9512051 
   1098.00  13.5827322  17.9714449  20.9403191 
   1098.51  13.5758419  17.9622029  20.9294382 
   1099.02  13.5689548  17.9529652  20.9185623 
   1099.52  13.5620709  17.9437317  20.9076913 
   1100.03  13.5551901  17.9345024  20.8968254 
   1100.54  13.5483125  17.9252774  20.8859645 
   1101.04  13.5414381  17.9160567  20.8751086 
   1101.55  13.5345668  17.9068402  20.8642577 
   1102.06  13.5276987  17.8976279  20.8534118 
   1102.57  13.5208337  17.8884199  20.8425709 
   1103.07  13.5139719  17.8792161  20.8317350 
   1103.58  13.5071133  17.8700166  20.8209041 
   1104.09  13.5002578  17.8608213  20.8100782 
   1104.60  13.4934055  17.8516302  20.7992573 
   1105.11  13.4865564  17.8424434  20.7884413 
   1105.62  13.4797104  17.8332608  20.7776303 
   1106.13  13.4728675  17.8240824  20.7668244 
   1106.63  13.4660278  17.8149083  20.7560234 
   1107.14  13.4591913  17.8057383  20.7452273 
   1107.65  13.4523579  17.7965726  20.7344363 
   1108.17  13.4455276  17.7874112  20.7236502 
   1108.68  13.4387005  17.7782539  20.7128691 
   1109.19  13.4318765  17.7691009  20.7020929 
   1109.70  13.4250557  17.7599520  20.6913218 
   1110.21  13.4182380  17.7508074  20.6805555 
   1110.72  13.4114235  17.7416670  20.6697943 
   1111.23  13.4046121  17.7325308  20.6590380 
   1111.74  13.3978038  17.7233988  20.6482866 
   1112.26  13.3909987  17.7142710  20.6375403 
   1112.77  13.3841967  17.7051475  20.6267988 
   1113.28  13.3773978  17.6960281  20.6160623 
   1113.79  13.3706021  17.6869129  20.6053308 
   1114.31  13.3638095  17.6778019  20.5946042 
   1114.82  13.3570200  17.6686951  20.5838826 
   1115.33  13.3502336  17.6595925  20.5731658 
   1115.85  13.3434504  17.6504941  20.5624541 
