x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
3950.0,3951.68,25.491,0.038,25.4128118404,6.36e-11,0.002,0.571,28.4,0.013
3550.96,1906.59,27.408,0.204,27.5022387556,1.09e-11,0.008,0.063,5.3,-0.037
1643.2,1948.59,24.485,0.017,21.6616755077,1.61e-10,0.009,0.018,65.6,0.008
2063.44,1791.54,27.312,0.164,27.461112421,1.19e-11,0.044,-0.443,6.6,0.077
2399.03,1933.99,23.749,0.025,99.99,3.17e-10,0.529,3.832,43.0,-0.114
701.79,3348.0,25.437,0.038,25.8168751071,6.69e-11,0.002,0.26,28.3,-0.017
2805.76,3091.24,27.572,0.238,27.8650449801,9.36e-12,0.153,0.474,4.6,0.007
3233.93,1853.06,27.04,0.166,27.3990776548,1.53e-11,0.922,0.945,6.5,-0.1
3571.2,2878.76,27.365,0.196,27.3240121354,1.13e-11,0.05,1.724,5.6,0.047
562.2,1696.99,27.156,0.174,27.2437283387,1.37e-11,0.019,0.784,6.3,0.044
390.5,1009.49,27.714,0.232,28.0716278352,8.21e-12,0.006,0.322,4.7,0.091
1000.48,1255.2,24.437,0.016,24.3788927747,1.68e-10,0.001,0.096,68.4,0.003
3070.86,2456.81,27.138,0.168,27.0443782644,1.4e-11,0.03,0.051,6.5,-0.068
560.73,1958.19,27.626,0.251,99.99,8.91e-12,0.088,0.93,4.3,-0.023
1546.98,3490.05,24.682,0.056,27.6565241301,1.34e-10,1.014,7.352,19.3,0.089
222.6,2364.55,27.493,0.196,27.4509740049,1.01e-11,0.006,2.267,5.5,0.078
2517.62,256.88,25.566,0.04,23.2139146685,5.94e-11,0.002,0.197,27.2,0.003
3014.26,3026.64,27.071,0.141,26.908290392,1.48e-11,0.242,0.833,7.7,-0.038
1373.64,1588.08,27.681,0.266,27.4418640502,8.46e-12,0.013,-0.388,4.1,0.066
678.01,3166.61,27.669,0.26,27.4693626568,8.56e-12,0.039,0.372,4.2,-0.022
2561.29,1331.22,27.463,0.21,27.6728478217,1.03e-11,0.033,-0.139,5.2,-0.063
3760.92,3962.09,27.246,0.196,27.3992854444,1.26e-11,0.004,1.653,5.5,0.101
2458.24,1255.04,25.309,0.034,25.2472816009,7.52e-11,0.004,0.261,32.2,-0.005
1837.97,3880.79,19.028,0.002,28.8646406564,2.45e-08,0.037,1.378,637.3,-0.412
2853.79,2391.32,27.04,0.145,27.3985277672,1.53e-11,0.01,2.346,7.5,-0.03
1584.04,2171.99,21.943,0.007,25.4277348702,1.67e-09,0.316,0.115,166.4,-0.13
137.96,646.84,27.651,0.275,27.323623544,8.7e-12,0.032,0.039,3.9,0.106
3618.11,2875.26,27.444,0.219,27.4053650714,1.05e-11,0.047,1.059,5.0,0.037
2551.14,3683.07,26.533,0.103,26.9292566228,2.44e-11,0.732,2.458,10.5,0.017
2724.2,1410.03,26.542,0.102,26.3502892372,2.42e-11,0.43,1.1,10.7,0.017
371.3,3545.1,23.277,0.007,23.1924755272,4.89e-10,0.0,0.019,152.5,0.003
3236.91,1705.94,26.936,0.148,26.5306379605,1.68e-11,0.344,0.622,7.3,-0.119
512.42,1209.1,24.271,0.014,24.2245531466,1.96e-10,0.002,0.232,76.1,-0.007
3080.07,1767.69,27.692,0.265,28.3309097287,8.38e-12,0.039,3.715,4.1,0.037
2825.87,2121.12,27.225,0.189,27.3348042501,1.29e-11,0.016,2.363,5.7,0.123
1233.54,3078.31,26.001,0.054,25.9025065123,3.98e-11,0.002,-0.428,19.9,0.048
3030.34,3825.86,24.253,0.014,24.7058887217,1.99e-10,0.012,0.195,77.7,-0.015
2733.0,902.8,21.853,0.006,25.2222063534,1.81e-09,0.331,0.216,185.0,-0.083
1851.35,2515.76,27.376,0.187,27.4398316069,1.12e-11,0.016,1.212,5.8,0.029
1408.0,2014.3,22.141,0.004,22.0534943821,1.39e-09,0.0,0.002,309.4,0.0
1182.96,1404.2,27.595,0.262,99.99,9.17e-12,0.068,-0.733,4.1,0.146
3417.5,1166.64,27.433,0.184,27.3123420386,1.06e-11,0.03,0.776,5.9,0.038
2308.15,1530.28,27.19,0.169,27.3501710745,1.33e-11,0.016,0.695,6.4,0.073
1454.42,4047.06,27.623,0.248,99.99,8.93e-12,0.118,0.469,4.4,-0.132
3282.96,1915.48,27.326,0.187,27.3098451127,1.17e-11,0.02,0.022,5.8,0.044
4007.03,3424.5,27.346,0.19,27.1369085504,1.15e-11,0.019,-0.968,5.7,0.028
522.21,1087.04,27.532,0.243,99.99,9.71e-12,0.196,1.38,4.5,-0.043
3040.67,2006.24,27.206,0.165,27.2923809663,1.31e-11,0.021,0.108,6.6,-0.005
1749.78,3675.5,27.706,0.249,27.6276220692,8.27e-12,0.015,0.002,4.4,-0.149
580.17,3612.44,27.312,0.181,27.3404485533,1.19e-11,0.007,-0.059,6.0,0.0
1680.92,3432.76,25.978,0.059,25.8824864626,4.06e-11,0.05,1.146,18.3,0.028
3593.86,1553.93,25.665,0.122,28.1778542638,5.42e-11,0.722,0.586,8.9,0.047
2864.17,3618.36,27.308,0.184,27.4386501968,1.19e-11,0.044,-0.225,5.9,-0.061
1942.58,1629.27,26.833,0.114,26.7260016376,1.85e-11,0.008,1.402,9.5,0.089
2686.71,2638.19,27.427,0.208,27.4659701301,1.07e-11,0.031,0.58,5.2,-0.148
2276.84,519.85,23.173,0.014,27.1341250373,5.38e-10,0.456,1.309,78.8,-0.087
3185.73,1659.13,27.443,0.217,27.2912955837,1.05e-11,0.018,2.057,5.0,0.096
4000.56,1821.5,27.441,0.183,27.2290702306,1.06e-11,0.013,0.133,5.9,-0.069
1793.48,3052.12,24.391,0.015,21.5572629625,1.75e-10,0.002,0.115,70.3,0.001
221.76,3397.43,27.053,0.141,27.3064169834,1.51e-11,0.025,0.757,7.7,0.032
1805.29,3028.69,27.292,0.17,27.3731818733,1.21e-11,0.004,0.156,6.4,-0.059
310.05,4027.12,22.664,0.01,99.99,8.6e-10,0.217,0.73,107.7,-0.286
3832.8,2139.05,24.85,0.024,26.4648780603,1.15e-10,0.029,0.173,46.1,-0.0
2404.2,1637.44,25.617,0.041,25.5218672787,5.66e-11,0.014,0.399,26.8,0.0
2121.02,573.16,22.12,0.007,25.2599729214,1.42e-09,0.163,0.061,156.0,-0.018
1944.23,2839.76,27.713,0.265,27.7776410062,8.21e-12,0.011,1.247,4.1,-0.005
1349.86,3514.82,27.138,0.168,27.3718638454,1.4e-11,0.04,0.37,6.5,-0.073
3023.23,2162.84,23.561,0.009,26.6261604923,3.76e-10,0.346,0.061,119.5,-0.059
386.93,3306.85,27.554,0.259,99.99,9.51e-12,1.576,2.221,4.2,0.229
226.52,2081.44,27.442,0.185,27.2188348999,1.05e-11,0.012,-1.838,5.9,0.003
1958.42,697.19,27.269,0.174,27.6652802066,1.24e-11,0.029,0.082,6.2,-0.108
3634.77,130.71,27.248,0.172,27.3949461977,1.26e-11,0.059,1.845,6.3,-0.08
1654.8,2822.6,27.748,0.268,27.3392449302,7.96e-12,0.085,0.163,4.0,0.131
138.67,1669.02,27.453,0.219,99.99,1.04e-11,0.663,0.541,5.0,-0.081
2131.29,3105.92,25.269,0.032,25.2458487107,7.8e-11,0.008,0.269,34.2,0.005
