x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
2853.79,2391.32,27.407,0.136,27.6212891709,1.09e-11,0.008,0.04,8.0,-0.022
137.96,646.84,27.801,0.215,27.6252634053,7.58e-12,0.03,-0.374,5.0,0.018
3618.11,2875.26,27.577,0.168,27.6269869381,9.32e-12,0.03,-0.417,6.5,0.008
1283.36,631.5,28.185,0.234,99.99,5.32e-12,0.054,2.506,4.6,0.023
2825.87,2121.12,27.831,0.226,27.5790880175,7.37e-12,0.019,1.188,4.8,0.025
1233.54,3078.31,26.61,0.062,26.2872577645,2.27e-11,0.002,0.008,17.6,0.051
1851.35,2515.76,27.668,0.159,27.6481549621,8.57e-12,0.005,-0.339,6.8,0.007
3417.5,1166.64,27.962,0.191,27.5572090682,6.53e-12,0.023,0.297,5.7,0.053
2308.15,1530.28,27.769,0.193,27.6111283006,7.8e-12,0.013,0.875,5.6,0.11
930.94,2924.76,28.007,0.248,28.2881291811,6.27e-12,0.034,-0.135,4.4,-0.07
3282.96,1915.48,27.735,0.184,27.6120148321,8.05e-12,0.036,-0.8,5.9,0.095
4007.03,3424.5,27.693,0.175,27.4424401955,8.37e-12,0.02,0.767,6.2,0.085
3040.67,2006.24,27.811,0.192,27.540583438,7.51e-12,0.027,2.403,5.7,0.025
1749.78,3675.5,27.777,0.177,27.7750235873,7.75e-12,0.008,4.042,6.1,0.032
580.17,3612.44,27.678,0.167,27.5770782559,8.49e-12,0.006,-0.315,6.5,0.044
1680.92,3432.76,26.465,0.063,26.2077260588,2.59e-11,0.041,0.543,17.4,-0.015
2864.17,3618.36,27.603,0.16,27.6442364201,9.09e-12,0.037,1.376,6.8,-0.024
1942.58,1629.27,27.379,0.124,27.0237926379,1.12e-11,0.006,0.123,8.8,0.012
2686.71,2638.19,27.856,0.208,27.7264023625,7.2e-12,0.028,0.466,5.2,-0.062
3185.73,1659.13,27.746,0.195,27.57239364,7.97e-12,0.021,0.667,5.6,-0.024
4000.56,1821.5,27.869,0.174,27.4945036311,7.12e-12,0.008,0.411,6.2,0.025
221.76,3397.43,27.742,0.173,27.5512843472,8e-12,0.019,0.447,6.3,-0.0
1805.29,3028.69,27.512,0.136,27.6062169286,9.89e-12,0.009,-0.142,8.0,0.004
3652.93,2349.99,27.989,0.267,99.99,6.38e-12,0.024,-0.163,4.1,0.057
2404.2,1637.44,26.089,0.041,25.8579721346,3.67e-11,0.015,1.265,26.3,0.014
1944.23,2839.76,27.96,0.218,27.8753713896,6.54e-12,0.023,0.469,5.0,0.01
1349.86,3514.82,28.05,0.262,27.6155153556,6.02e-12,0.102,2.607,4.1,0.041
226.52,2081.44,27.634,0.142,27.4624487826,8.84e-12,0.009,0.604,7.6,0.016
1958.42,697.19,27.937,0.214,27.7846592293,6.69e-12,0.025,-0.066,5.1,-0.015
3634.77,130.71,27.61,0.159,27.6257456867,9.03e-12,0.05,1.565,6.8,0.053
1654.8,2822.6,27.889,0.203,27.5447718462,6.99e-12,0.044,1.588,5.3,0.077
