         id               ra              dec      mag      type         n               re              phi            ratio     notes 
       6031       53.1455927      -27.8538634  27.0149    sersic     1.103            1.350           -4.966           0.4949   comment 
       6032       53.1508237      -27.8538643  28.8662    sersic     5.232           11.553           15.116           0.5512   comment 
       6035       53.0915677      -27.8538370  28.8058    sersic     0.726            1.528           41.336           0.6214   comment 
       6040       53.1904785      -27.8537648  25.6624    sersic     0.515            5.040          -11.837           0.7380   comment 
       6044       53.0643366      -27.8537228   27.239    sersic     5.569            0.386          -70.422           0.0499   comment 
       6048       53.1620676      -27.8537863  26.0722    sersic     0.954            1.325          -46.134           0.4436   comment 
       6049       53.1036172      -27.8537902  26.5705    sersic     1.407            2.294            6.669           0.3761   comment 
       6051       53.1536216      -27.8536430  27.3272    sersic     1.654            1.714          -31.244           0.4474   comment 
       6054       53.1409049      -27.8536447  27.0883    sersic     1.104            2.293          -53.367           0.3447   comment 
       6056       53.0750457      -27.8535748  26.7392    sersic     1.117            2.932           76.178           0.2484   comment 
       6057       53.0990234      -27.8535584  27.1946    sersic     0.777            1.686           44.453           0.4477   comment 
       6058       53.1286299      -27.8535537  27.3141    sersic     2.809            0.711           89.341           0.0351   comment 
       6060       53.0747109      -27.8535325  26.7101    sersic     5.886            2.727          -21.680           0.2327   comment 
       6062       53.0786352      -27.8535735  27.9211    sersic     0.821            0.621          -40.565           0.6408   comment 
       6063       53.1196140      -27.8535066   26.896    sersic     0.985            2.495           75.301           0.3992   comment 
       6064       53.0857092      -27.8534986   28.144    sersic     5.067            1.291           67.462           0.2245   comment 
       6065       53.0631493      -27.8536829  26.8828    sersic     3.163            0.958          -83.204           0.6374   comment 
       6066       53.1508181      -27.8534771  27.4266    sersic     1.460            5.790           56.459           0.2988   comment 
       6067       53.0581499      -27.8535418  26.3861    sersic     1.756            1.239          -14.567           0.8033   comment 
       6068       53.0615753      -27.8534570  26.7996    sersic     1.191            1.417           57.888           0.6180   comment 
       6070       53.1050784      -27.8534426  27.5407    sersic     3.786            1.630          -66.967           0.0591   comment 
       6071       53.0946379      -27.8538123  25.4031    sersic     1.342            2.933          -57.167           0.3208   comment 
       6072       53.0703635      -27.8534171  27.0322    sersic     0.610            0.909          -86.447           0.5019   comment 
       6073       53.1463385      -27.8534022  27.8258    sersic     0.467            2.613           -2.109           0.3803   comment 
       6074       53.1728479      -27.8533923   27.035    sersic     0.419            2.331           51.663           0.5246   comment 
       6075       53.1397462      -27.8533928  30.1539    sersic     0.663            2.869           29.765           0.2237   comment 
       6076       53.1854994      -27.8538043  25.1782    sersic     0.758            4.184            4.069           0.3231   comment 
       6078       53.1926222      -27.8533076  27.0058    sersic     0.979            1.599           38.353           0.3787   comment 
       6081       53.1563165      -27.8533218  27.0179    sersic     1.323            2.804           74.967           0.3269   comment 
       6083       53.0883639      -27.8533122  27.5705    sersic     0.527            0.747          -47.111           0.5656   comment 
       6084       53.0975822      -27.8533074  26.8988    sersic     0.352            1.190           40.613           0.8192   comment 
       6087       53.1162190      -27.8532456  27.4449    sersic     4.013            1.421          -72.902           0.0753   comment 
       6090       53.1474166      -27.8532374  27.8085    sersic     1.543            1.533          -78.556           0.5906   comment 
       6092       53.1246296      -27.8534417  25.9813    sersic     0.542            1.115          -15.268           0.7652   comment 
       6096       53.0919356      -27.8533490  26.0053    sersic     1.169            1.453           64.119           0.4209   comment 
       6097       53.1384543      -27.8531761  26.8182    sersic     0.643            1.193          -73.081           0.5413   comment 
       6099       53.1883693      -27.8535323  24.3807    sersic     2.622            1.572           67.602           0.7674   comment 
       6100       53.1238172      -27.8531308  27.1295    sersic     2.097            1.494          -75.794           0.4390   comment 
