         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6132       53.0754174      -27.8527828        0.7908694    sersic       4.497        0.4910000       51.2690000        0.3825000   comment 
       6135       53.1357281      -27.8528775        0.2773526    sersic       4.455        1.4350000       38.9080000        0.8037000   comment 
       6136       53.0853648      -27.8527300        0.8537177    sersic       0.770        1.8460000       44.3030000        0.5468000   comment 
       6137       53.0885593      -27.8527054        0.5063477    sersic       0.835        1.1620000      -73.1370000        0.4569000   comment 
       6139       53.1716236      -27.8532411        4.1612923    sersic       0.758        4.4980000      -50.7170000        0.2798000   comment 
       6141       53.0943066      -27.8534951       15.9952134    sersic       0.832        2.5540000      -61.9860000        0.3808000   comment 
       6143       53.0817636      -27.8526661        0.4278180    sersic       2.038        0.6220000       23.0570000        0.0179000   comment 
       6144       53.1065407      -27.8528296        0.8822980    sersic       0.842        3.8910000       63.4190000        0.1882000   comment 
       6146       53.0899818      -27.8528876        2.0294837    sersic       1.051        1.0240000        3.5850000        0.6167000   comment 
       6147       53.1951930      -27.8526120        0.1915842    sersic       2.109        0.8140000       73.9360000        0.4449000   comment 
       6148       53.1177092      -27.8527647        0.8062409    sersic       2.508        1.3560000       76.2900000        0.6054000   comment 
       6149       53.1530891      -27.8526873        1.5405826    sersic       1.832        0.9390000       58.0460000        0.6355000   comment 
       6150       53.0677125      -27.8530609        4.5427352    sersic       0.959        3.2070000      -16.6970000        0.4422000   comment 
       6154       53.1398420      -27.8525595        0.1642488    sersic       6.899        1.0050000       60.7450000        0.0636000   comment 
       6155       53.0965885      -27.8525584        0.4427859    sersic       2.388        0.9330000       31.5210000        0.0432000   comment 
       6156       53.1748836      -27.8525489        0.4036219    sersic       0.879        0.1730000      -33.8290000        0.1001000   comment 
       6159       53.1646920      -27.8533358       14.6069472    sersic       0.825        3.4660000       87.1170000        0.5623000   comment 
       6161       53.0907102      -27.8524938        0.1992520    sersic       0.305        0.1640000       47.7810000        0.0833000   comment 
       6162       53.1459183      -27.8524842        0.3561231    sersic       2.117        1.9360000      -69.1810000        0.1771000   comment 
       6163       53.1642518      -27.8535196       19.6906452    sersic       1.164        4.6260000      -15.4330000        0.7952000   comment 
       6165       53.1184128      -27.8524516        0.6091090    sersic       1.501        1.6570000       26.9980000        0.3718000   comment 
       6166       53.0882295      -27.8524372        0.1010551    sersic       0.667        2.1540000      -54.9160000        0.7997000   comment 
       6167       53.0951491      -27.8533074        3.4384393    sersic       1.664        5.1120000        2.0750000        0.3076000   comment 
       6168       53.0896357      -27.8524974        1.3804987    sersic       2.177        2.3940000       41.9460000        0.5662000   comment 
       6169       53.1840095      -27.8524438        2.0613618    sersic       0.378        1.7560000       56.4100000        0.3666000   comment 
       6170       53.0821058      -27.8528725        7.4999231    sersic       1.146        2.1740000      -28.0790000        0.7628000   comment 
       6172       53.0893891      -27.8526488        1.8485970    sersic       1.144        3.0590000      -66.4170000        0.3309000   comment 
       6173       53.1617276      -27.8523767        0.6382941    sersic       1.710        0.6770000       63.5660000        0.5030000   comment 
       6175       53.1187137      -27.8527085        2.3600180    sersic       1.384        1.9970000        1.5770000        0.2568000   comment 
       6176       53.0964716      -27.8523514        0.6265491    sersic       6.115        2.7140000       49.9030000        0.9913000   comment 
       6177       53.1681801      -27.8529418        3.8598196    sersic       0.764        3.3500000       36.2950000        0.4370000   comment 
       6178       53.1684851      -27.8526687        4.1718388    sersic       0.689        2.6030000      -52.2190000        0.5867000   comment 
       6179       53.0993708      -27.8529067        4.3960288    sersic       2.800        1.3990000       50.4590000        0.6453000   comment 
       6181       53.1118446      -27.8522819        0.3044326    sersic       1.710        0.3000000       54.3350000        0.0446000   comment 
       6183       53.0931837      -27.8522489        0.6609954    sersic       5.686        0.2060000      -81.8600000        0.1977000   comment 
       6184       53.1251010      -27.8522510        1.3634621    sersic       1.388        0.5710000       58.8190000        0.4948000   comment 
       6185       53.0585562      -27.8524371        1.1830706    sersic       0.625        2.3650000       45.1750000        0.3968000   comment 
       6186       53.0943282      -27.8522347        0.3697754    sersic       0.368        0.8390000       35.5080000        0.6556000   comment 
       6187       53.1644941      -27.8521851        1.0647835    sersic       0.751        0.6570000       -2.6860000        0.9922000   comment 
       6188       53.0710309      -27.8537075       20.7414786    sersic       1.070        6.5360000      -38.6740000        0.6165000   comment 
       6190       53.0899585      -27.8523087        0.5022129    sersic       1.743        2.2160000      -31.9720000        0.4693000   comment 
       6192       53.1338033      -27.8525739        1.9532013    sersic       0.414        1.8490000      -28.7400000        0.2696000   comment 
       6194       53.1081141      -27.8521554        0.5828323    sersic       2.439        1.0890000       39.4820000        0.4966000   comment 
       6195       53.1753538      -27.8526097       11.3795741    sersic       0.699        3.4310000      -86.7000000        0.5076000   comment 
