         id               ra              dec      mag      type         n               re              phi            ratio     notes 
       6144       53.1065407      -27.8528296  25.4447    sersic     0.842            3.891           63.419           0.1882   comment 
       6146       53.0899818      -27.8528876  24.7994    sersic     1.043            1.227           30.035           0.5756   comment 
       6147       53.1951930      -27.8526120  25.7278    sersic     2.109            0.814           73.936           0.4449   comment 
       6148       53.1177092      -27.8527647    25.23    sersic     1.925            1.309           67.632           0.4341   comment 
       6149       53.1530891      -27.8526873  25.3806    sersic     0.952            1.100           62.213           0.6290   comment 
       6150       53.0677125      -27.8530609  24.6578    sersic     0.910            2.785          -21.249           0.4751   comment 
       6154       53.1398420      -27.8525595  26.6669    sersic     5.707            1.001           46.611           0.2249   comment 
       6155       53.0965885      -27.8525584  27.0502    sersic     2.388            0.933           31.521           0.0432   comment 
       6156       53.1748836      -27.8525489   25.369    sersic     0.879            0.173          -33.829           0.1001   comment 
       6157       53.1479447      -27.8525365  27.0931    sersic     0.856            1.598            4.664           0.5059   comment 
       6159       53.1646920      -27.8533358  22.5184    sersic     0.959            3.431           87.234           0.5464   comment 
       6161       53.0907102      -27.8524938  26.8339    sersic     0.305            0.164           47.781           0.0833   comment 
       6162       53.1459183      -27.8524842  26.8648    sersic     2.117            1.936          -69.181           0.1771   comment 
       6163       53.1642518      -27.8535196  22.6527    sersic     1.284            4.689          -16.384           0.7589   comment 
       6165       53.1184128      -27.8524516  26.7116    sersic     1.501            1.657           26.998           0.3718   comment 
       6166       53.0882295      -27.8524372  26.7579    sersic     0.793            1.996           73.285           0.0566   comment 
       6167       53.0951491      -27.8533074  24.3653    sersic     1.739            4.408            4.929           0.3933   comment 
       6168       53.0896357      -27.8524974  25.8895    sersic     1.750            2.931           -0.474           0.4114   comment 
       6169       53.1840095      -27.8524438  24.8442    sersic     0.378            1.756           56.410           0.3666   comment 
       6170       53.0821058      -27.8528725  24.0251    sersic     0.825            2.085          -23.336           0.7610   comment 
       6172       53.0893891      -27.8526488  24.9271    sersic     0.819            2.933          -54.865           0.5198   comment 
       6173       53.1617276      -27.8523767  26.9365    sersic     1.710            0.677           63.566           0.5030   comment 
       6175       53.1187137      -27.8527085  24.9434    sersic     1.384            1.997            1.577           0.2568   comment 
       6176       53.0964716      -27.8523514  26.7847    sersic     6.115            2.714           49.903           0.9913   comment 
       6177       53.1681801      -27.8529418  24.1739    sersic     0.812            2.838           33.682           0.5422   comment 
       6178       53.1684851      -27.8526687  24.4538    sersic     0.689            2.603          -52.219           0.5867   comment 
       6179       53.0993708      -27.8529067  23.4837    sersic     2.465            1.514           54.883           0.6199   comment 
       6181       53.1118446      -27.8522819  26.9657    sersic     1.710            0.300           54.335           0.0446   comment 
       6183       53.0931837      -27.8522489  26.5636    sersic     5.686            0.206          -81.860           0.1977   comment 
       6184       53.1251010      -27.8522510  26.3959    sersic     1.864            0.602           53.223           0.2400   comment 
       6185       53.0585562      -27.8524371  25.1658    sersic     0.629            2.480           46.893           0.4134   comment 
       6186       53.0943282      -27.8522347  26.6142    sersic     0.368            0.839           35.508           0.6556   comment 
       6187       53.1644941      -27.8521851  26.4297    sersic     0.751            0.657           -2.686           0.9922   comment 
       6188       53.0710309      -27.8537075  22.2386    sersic     1.226            6.316          -36.103           0.6030   comment 
       6190       53.0899585      -27.8523087  25.4383    sersic     1.743            2.216          -31.972           0.4693   comment 
       6192       53.1338033      -27.8525739  24.9001    sersic     0.372            1.743          -26.199           0.0460   comment 
       6194       53.1081141      -27.8521554  26.4742    sersic     2.439            1.089           39.482           0.4966   comment 
       6195       53.1753538      -27.8526097  22.7176    sersic     0.783            3.272          -86.846           0.5294   comment 
       6196       53.1504770      -27.8521479  26.8889    sersic     0.605            1.808          -10.155           0.2913   comment 
       6198       53.1239540      -27.8523429  25.3037    sersic     1.256            5.314           20.671           0.5871   comment 
       6199       53.1886166      -27.8522132  24.2766    sersic     0.910            1.477           35.175           0.6879   comment 
       6200       53.0833620      -27.8520684  26.8695    sersic     1.535            0.911          -19.190           0.9773   comment 
       6201       53.1631123      -27.8520772   27.035    sersic     1.502            0.647            5.457           0.8401   comment 
       6202       53.1725956      -27.8522093  25.0153    sersic     3.639            0.912           48.820           0.5818   comment 
       6204       53.0846052      -27.8520574  25.8219    sersic     1.171            2.444          -70.806           0.6320   comment 
       6205       53.0896744      -27.8522934  24.9749    sersic     1.079            1.272           71.066           0.3516   comment 
       6206       53.1256701      -27.8522303  25.1786    sersic     1.119            1.265           17.043           0.9579   comment 
       6207       53.1460574      -27.8519759  26.8558    sersic     2.818            1.446           10.823           0.0801   comment 
       6208       53.1591391      -27.8523443  24.8491    sersic     1.199            1.843          -17.814           0.4508   comment 
       6209       53.0724277      -27.8519560  27.1631    sersic     2.517            0.662          -18.159           0.0393   comment 
       6210       53.1885004      -27.8519405   25.761    sersic     1.252            1.324           28.851           0.6513   comment 
       6212       53.1300716      -27.8524534  24.3521    sersic     1.677            2.742          -26.574           0.6524   comment 
       6213       53.1644105      -27.8519034  25.9672    sersic     0.374            1.119          -63.237           0.5264   comment 
       6214       53.0720273      -27.8536603  21.4697    sersic     1.496            3.626           -5.071           0.5610   comment 
       6215       53.1093094      -27.8518954  26.8661    sersic     2.151            1.276          -33.271           0.9900   comment 
       6216       53.1588273      -27.8518731   26.852    sersic     0.935            1.572           10.073           0.2273   comment 
       6218       53.1183759      -27.8519405  25.9383    sersic     0.887            1.620          -43.877           0.9104   comment 
       6219       53.1064658      -27.8522751  24.0038    sersic     0.724            1.845           12.181           0.6869   comment 
       6220       53.1532737      -27.8518527  26.5136    sersic     1.705            0.708           42.498           0.6207   comment 
       6222       53.1163226      -27.8519540  25.4165    sersic     2.656            0.603          -50.310           0.7381   comment 
       6223       53.1735456      -27.8524234  23.4428    sersic     1.114            2.310            2.737           0.4162   comment 
       6226       53.0867178      -27.8520991  25.1155    sersic     1.011            2.564          -22.272           0.4015   comment 
       6231       53.0877654      -27.8518007  25.5363    sersic     0.686            0.574          -59.116           0.3923   comment 
       6232       53.1702408      -27.8517101  25.5888    sersic     0.953            1.379           87.644           0.4118   comment 
       6234       53.1250615      -27.8518242  25.6801    sersic     2.166            4.306          -23.138           0.5324   comment 
       6235       53.1199842      -27.8519561  24.7559    sersic     3.451            1.347           29.150           0.6415   comment 
       6237       53.1427825      -27.8516586  26.2076    sersic     1.783            2.604           48.770           0.7761   comment 
       6239       53.1290379      -27.8517985   25.289    sersic     1.683            1.075          -80.924           0.7429   comment 
       6240       53.0869061      -27.8516718  25.8947    sersic     1.558            2.851          -71.868           0.2779   comment 
       6241       53.1562919      -27.8516753  26.2439    sersic     1.855            3.072           21.208           0.5427   comment 
       6242       53.1627798      -27.8516646  26.2122    sersic     1.089            2.691           45.829           0.4024   comment 
       6243       53.0654988      -27.8517070  25.4101    sersic     2.628            0.968          -55.491           0.3077   comment 
       6244       53.1589947      -27.8516360   26.179    sersic     3.003            8.088            5.766           0.3514   comment 
       6246       53.1378151      -27.8531431  21.9349    sersic     0.504            3.779          -56.344           0.6968   comment 
       6249       53.1801217      -27.8515689  26.7767    sersic     0.320            1.394          -12.542           0.4030   comment 
       6250       53.1157504      -27.8515781  26.6606    sersic     2.908            0.933          -85.906           0.6349   comment 
       6252       53.0830962      -27.8517039  25.9768    sersic     0.514            3.245           18.288           0.1842   comment 
       6253       53.1506916      -27.8515300  26.0371    sersic     4.093            2.764           24.551           0.8139   comment 
       6254       53.1916293      -27.8523030  23.3332    sersic     0.353            5.283           35.467           0.1925   comment 
       6255       53.0828674      -27.8515050    26.33    sersic     0.638            1.434            8.404           0.6471   comment 
